,id,cidade,estado,data,precipitacao
343,4430,Curitiba,PR,2021-02-17,1.0
344,4440,Curitiba,PR,2021-02-18,0.4
345,4450,Curitiba,PR,2021-02-19,0.0
346,4460,Curitiba,PR,2021-02-20,0.8
347,4470,Curitiba,PR,2021-02-21,0.2
348,4480,Curitiba,PR,2021-02-22,0.0
349,4490,Curitiba,PR,2021-02-23,0.0
350,4500,Curitiba,PR,2021-02-24,3.6
351,4510,Curitiba,PR,2021-02-25,1.2
352,4520,Curitiba,PR,2021-02-26,1.4
353,4530,Curitiba,PR,2021-02-27,20.0
354,4540,Curitiba,PR,2021-02-28,22.2
355,4550,Curitiba,PR,2021-03-01,26.6
356,4560,Curitiba,PR,2021-03-02,25.3
357,4570,Curitiba,PR,2021-03-03,14.3
358,4580,Curitiba,PR,2021-03-04,13.4
359,4590,Curitiba,PR,2021-03-05,2.0
360,4600,Curitiba,PR,2021-03-06,2.1
361,4610,Curitiba,PR,2021-03-07,3.7
362,4620,Curitiba,PR,2021-03-08,0.6
363,4630,Curitiba,PR,2021-03-09,0.5
364,4640,Curitiba,PR,2021-03-10,1.6
365,4650,Curitiba,PR,2021-03-11,0.1
366,4660,Curitiba,PR,2021-03-12,0.3
367,4670,Curitiba,PR,2021-03-13,0.2
368,4680,Curitiba,PR,2021-03-14,0.0
369,4690,Curitiba,PR,2021-03-15,2.7
370,4700,Curitiba,PR,2021-03-16,6.8
371,4710,Curitiba,PR,2021-03-17,0.8
372,4720,Curitiba,PR,2021-03-18,0.6
373,4730,Curitiba,PR,2021-03-19,0.7
374,4740,Curitiba,PR,2021-03-20,0.3
375,4750,Curitiba,PR,2021-03-21,0.1
376,4760,Curitiba,PR,2021-03-22,3.0
377,4770,Curitiba,PR,2021-03-23,7.1
378,4780,Curitiba,PR,2021-03-24,2.2
379,4790,Curitiba,PR,2021-03-25,3.2
380,4800,Curitiba,PR,2021-03-26,0.1
381,4810,Curitiba,PR,2021-03-27,0.2
382,4820,Curitiba,PR,2021-03-28,1.0
383,4830,Curitiba,PR,2021-03-29,3.6
384,4840,Curitiba,PR,2021-03-30,0.4
385,4850,Curitiba,PR,2021-03-31,0.0
386,4860,Curitiba,PR,2021-04-01,0.0
387,4870,Curitiba,PR,2021-04-02,0.4
388,4880,Curitiba,PR,2021-04-03,0.0
389,4890,Curitiba,PR,2021-04-04,0.8
390,4900,Curitiba,PR,2021-04-05,1.4
391,4910,Curitiba,PR,2021-04-06,0.5
392,4920,Curitiba,PR,2021-04-07,1.0
393,4930,Curitiba,PR,2021-04-08,1.8
394,4940,Curitiba,PR,2021-04-09,0.3
395,4950,Curitiba,PR,2021-04-10,0.0
396,4960,Curitiba,PR,2021-04-11,0.0
397,4970,Curitiba,PR,2021-04-12,0.0
398,4980,Curitiba,PR,2021-04-13,1.2
399,4990,Curitiba,PR,2021-04-14,0.1
400,5000,Curitiba,PR,2021-04-15,0.0
401,5010,Curitiba,PR,2021-04-16,0.0
402,5020,Curitiba,PR,2021-04-17,0.0
403,5030,Curitiba,PR,2021-04-18,3.3
404,5040,Curitiba,PR,2021-04-19,0.4
405,5050,Curitiba,PR,2021-04-20,1.1
406,5060,Curitiba,PR,2021-04-21,0.9
407,5070,Curitiba,PR,2021-04-22,2.8
408,5080,Curitiba,PR,2021-04-23,0.0
409,5090,Curitiba,PR,2021-04-24,0.0
410,5100,Curitiba,PR,2021-04-25,0.0
411,5110,Curitiba,PR,2021-04-26,1.5
412,5120,Curitiba,PR,2021-04-27,0.4
413,5130,Curitiba,PR,2021-04-28,0.3
414,5140,Curitiba,PR,2021-04-29,0.1
415,5150,Curitiba,PR,2021-04-30,0.7
416,5160,Curitiba,PR,2021-05-01,0.0
417,5170,Curitiba,PR,2021-05-02,0.1
418,5180,Curitiba,PR,2021-05-03,0.0
419,5190,Curitiba,PR,2021-05-04,0.0
420,5200,Curitiba,PR,2021-05-05,0.0
421,5210,Curitiba,PR,2021-05-06,0.3
422,5220,Curitiba,PR,2021-05-07,15.2
423,5230,Curitiba,PR,2021-05-08,0.1
424,5240,Curitiba,PR,2021-05-09,0.1
425,5250,Curitiba,PR,2021-05-10,0.0
426,5260,Curitiba,PR,2021-05-11,0.0
427,5270,Curitiba,PR,2021-05-12,14.5
428,5280,Curitiba,PR,2021-05-13,28.4
429,5290,Curitiba,PR,2021-05-14,0.0
430,5300,Curitiba,PR,2021-05-15,0.4
431,5310,Curitiba,PR,2021-05-16,0.0
432,5320,Curitiba,PR,2021-05-17,0.0
433,5330,Curitiba,PR,2021-05-18,0.0
434,5340,Curitiba,PR,2021-05-19,0.0
435,5350,Curitiba,PR,2021-05-20,0.0
436,5360,Curitiba,PR,2021-05-21,0.0
437,5370,Curitiba,PR,2021-05-22,10.4
438,5380,Curitiba,PR,2021-05-23,16.2
439,5390,Curitiba,PR,2021-05-24,0.8
440,5400,Curitiba,PR,2021-05-25,0.0
441,5410,Curitiba,PR,2021-05-26,0.0
442,5420,Curitiba,PR,2021-05-27,0.0
443,5430,Curitiba,PR,2021-05-28,5.0
444,5440,Rio de Janeiro,RJ,2021-01-01,0.8
445,5450,Rio de Janeiro,RJ,2021-01-02,17.8
446,5460,Rio de Janeiro,RJ,2021-01-03,12.4
447,5470,Rio de Janeiro,RJ,2021-01-04,0.6
448,5480,Rio de Janeiro,RJ,2021-01-05,0.0
449,5490,Rio de Janeiro,RJ,2021-01-06,0.2
450,5500,Rio de Janeiro,RJ,2021-01-07,0.0
451,5510,Rio de Janeiro,RJ,2021-01-08,0.0
452,5520,Rio de Janeiro,RJ,2021-01-09,11.4
453,5530,Rio de Janeiro,RJ,2021-01-10,0.0
454,5540,Rio de Janeiro,RJ,2021-01-11,15.6
455,5550,Rio de Janeiro,RJ,2021-01-12,0.8
456,5560,Rio de Janeiro,RJ,2021-01-13,0.0
457,5570,Rio de Janeiro,RJ,2021-01-14,0.0
458,5580,Rio de Janeiro,RJ,2021-01-15,0.0
459,5590,Rio de Janeiro,RJ,2021-01-16,0.0
460,5600,Rio de Janeiro,RJ,2021-01-17,0.0
461,5610,Rio de Janeiro,RJ,2021-01-18,0.0
462,5620,Rio de Janeiro,RJ,2021-01-19,0.0
463,5630,Rio de Janeiro,RJ,2021-01-20,0.0
464,5640,Rio de Janeiro,RJ,2021-01-21,0.0
465,5650,Rio de Janeiro,RJ,2021-01-22,0.0
466,5660,Rio de Janeiro,RJ,2021-01-23,0.0
467,5670,Rio de Janeiro,RJ,2021-01-24,0.0
468,5680,Rio de Janeiro,RJ,2021-01-25,0.0
469,5690,Rio de Janeiro,RJ,2021-01-26,0.0
470,5700,Rio de Janeiro,RJ,2021-01-27,0.0
471,5710,Rio de Janeiro,RJ,2021-01-28,0.0
472,5720,Rio de Janeiro,RJ,2021-01-29,0.0
473,5730,Rio de Janeiro,RJ,2021-01-30,0.0
474,5740,Rio de Janeiro,RJ,2021-01-31,0.0
475,5750,Rio de Janeiro,RJ,2021-02-01,0.0
476,5760,Rio de Janeiro,RJ,2021-02-02,1.4
477,5770,Rio de Janeiro,RJ,2021-02-03,0.2
478,5780,Rio de Janeiro,RJ,2021-02-04,0.0
479,5790,Rio de Janeiro,RJ,2021-02-05,20.2
480,5800,Rio de Janeiro,RJ,2021-02-06,12.6
481,5810,Rio de Janeiro,RJ,2021-02-07,0.4
482,5820,Rio de Janeiro,RJ,2021-02-08,3.2
483,5830,Rio de Janeiro,RJ,2021-02-09,0.2
484,5840,Rio de Janeiro,RJ,2021-02-10,0.0
485,5850,Rio de Janeiro,RJ,2021-02-11,1.8
486,5860,Rio de Janeiro,RJ,2021-02-12,0.8
487,5870,Rio de Janeiro,RJ,2021-02-13,11.6
488,5880,Rio de Janeiro,RJ,2021-02-14,0.6
489,5890,Rio de Janeiro,RJ,2021-02-15,0.0
490,5900,Rio de Janeiro,RJ,2021-02-16,0.0
491,5910,Rio de Janeiro,RJ,2021-02-17,0.0
492,5920,Rio de Janeiro,RJ,2021-02-18,0.6
493,5930,Rio de Janeiro,RJ,2021-02-19,0.0
494,5940,Rio de Janeiro,RJ,2021-02-20,0.8
495,5950,Rio de Janeiro,RJ,2021-02-21,4.2
496,5960,Rio de Janeiro,RJ,2021-02-22,4.6
497,5970,Rio de Janeiro,RJ,2021-02-23,0.0
498,5980,Rio de Janeiro,RJ,2021-02-24,0.0
499,5990,Rio de Janeiro,RJ,2021-02-25,0.2
500,6000,Rio de Janeiro,RJ,2021-02-26,16.6
501,6010,Rio de Janeiro,RJ,2021-02-27,14.0
502,6020,Rio de Janeiro,RJ,2021-02-28,0.2
503,6030,Rio de Janeiro,RJ,2021-03-01,0.0
504,6040,Rio de Janeiro,RJ,2021-03-02,0.0
505,6050,Rio de Janeiro,RJ,2021-03-03,0.0
506,6060,Rio de Janeiro,RJ,2021-03-04,0.0
507,6070,Rio de Janeiro,RJ,2021-03-05,1.4
508,6080,Rio de Janeiro,RJ,2021-03-06,10.6
509,6090,Rio de Janeiro,RJ,2021-03-07,5.2
510,6100,Rio de Janeiro,RJ,2021-03-08,0.4
511,6110,Rio de Janeiro,RJ,2021-03-09,0.2
512,6120,Rio de Janeiro,RJ,2021-03-10,0.0
513,6130,Rio de Janeiro,RJ,2021-03-11,0.0
514,6140,Rio de Janeiro,RJ,2021-03-12,0.0
515,6150,Rio de Janeiro,RJ,2021-03-13,4.6
516,6160,Rio de Janeiro,RJ,2021-03-14,0.2
517,6170,Rio de Janeiro,RJ,2021-03-15,0.0
518,6180,Rio de Janeiro,RJ,2021-03-16,14.6
519,6190,Rio de Janeiro,RJ,2021-03-17,0.2
520,6200,Rio de Janeiro,RJ,2021-03-18,0.0
521,6210,Rio de Janeiro,RJ,2021-03-19,0.0
522,6220,Rio de Janeiro,RJ,2021-03-20,0.0
523,6230,Rio de Janeiro,RJ,2021-03-21,0.0
524,6240,Rio de Janeiro,RJ,2021-03-22,0.0
525,6250,Rio de Janeiro,RJ,2021-03-23,0.0
526,6260,Rio de Janeiro,RJ,2021-03-24,0.0
